Traditional	Simplified	Pinyin	English	Zhuyin	Level
徒步	徒步	túbù	to be on foot		7-9
塗	涂	tú	to apply (paint etc), to smear, to daub, to blot out, to scribble, to scrawl, (literary) mud, street; surname Tu; variant of 途[tu2]		7-9
屠殺	屠杀	túshā	to massacre; to slaughter		7-9
土匪	土匪	tǔfěi	bandit		7-9
土壤	土壤	tǔrǎng	soil		7-9
土生土長	土生土长	tǔshēng-tǔzhǎng	(idiom) (of people) born and raised in the locality; (of art forms, political parties, enterprises, products etc) developed locally from the outset; wholly indigenous		7-9
團伙	团伙	tuánhuǒ	(criminal) gang, gang member, accomplice, crony		7-9
團聚	团聚	tuánjù	to reunite, to have a reunion		7-9
團員	团员	tuányuán	member, group member		7-9
團圓	团圆	tuányuán	to have a reunion		7-9
推測	推测	tuīcè	speculation, to conjecture, to surmise, to speculate		7-9
推辭	推辞	tuīcí	to decline (an appointment, invitation etc)		7-9
推斷	推断	tuīduàn	to infer, to deduce, to predict, to extrapolate		7-9
推翻	推翻	tuīfān	to overthrow		7-9
推薦	推荐	tuījiàn	to recommend, recommendation		7-9
推理	推理	tuīlǐ	reasoning, inference, to infer, to deduce		7-9
推敲	推敲	tuīqiāo	to think over		7-9
推算	推算	tuīsuàn	to calculate, to reckon, to extrapolate (in calculation)		7-9
推卸	推卸	tuīxiè	to avoid (esp. responsibility); to shift (the blame); to pass the buck		7-9
推選	推选	tuīxuǎn	to elect, to choose		7-9
推移	推移	tuīyí	(of time) to elapse; to pass, (of a situation) to develop; to evolve, to shift; to slide; to move smoothly and continuously along a surface		7-9
頹廢	颓废	tuífèi	decadent, dispirited, depressed, dejected		7-9
退回	退回	tuìhuí	to return (an item), to send back, to go back		7-9
退卻	退却	tuìquè	to retreat, to shrink back		7-9
退讓	退让	tuìràng	to move aside, to get out of the way, to back down, to concede		7-9
退縮	退缩	tuìsuō	to shrink back; to cower		7-9
退休金	退休金	tuìxiūjīn	retirement pension; pension payments received after retirement		7-9
退學	退学	tuìxué	to quit school		7-9
退役	退役	tuìyì	(of military personnel or athletes) to retire, (of outdated equipment) to be decommissioned		7-9
屯	屯	tún	to station (soldiers), to store up, village; used in 屯邅[zhun1 zhan1]		7-9
托付	托付	tuōfù	to entrust		7-9
拖累	拖累	tuōlěi	to encumber, to be a burden on, to implicate		7-9
拖欠	拖欠	tuōqiàn	in arrears, behind in payments, to default on one's debts		7-9
拖延	拖延	tuōyán	to delay, to put off, to procrastinate		7-9
脫節	脱节	tuōjié	to come apart		7-9
脫口而出	脱口而出	tuōkǒu'érchū	(idiom) to blurt out; to let slip (an indiscreet remark)		7-9
脫落	脱落	tuōluò	to drop off; to fall off; (of hair, teeth etc) to fall out, to omit (a character when writing)		7-9
脫身	脱身	tuōshēn	to get away, to escape (from obligations), to free oneself, to disengage		7-9
脫穎而出	脱颖而出	tuōyǐng'érchū	to reveal one's talent (idiom), to rise above others; to distinguish oneself		7-9
馱	驮	tuó	variant of 馱|驮[tuo2]; load carried by a pack animal; to carry on one's back		7-9
妥	妥	tuǒ	suitable, adequate, ready, settled		7-9
妥當	妥当	tuǒdàng	appropriate, proper, ready		7-9
妥善	妥善	tuǒshàn	appropriate; proper		7-9
妥協	妥协	tuǒxié	to compromise, to reach terms, a compromise		7-9
拓寬	拓宽	tuòkuān	to broaden		7-9
拓展	拓展	tuòzhǎn	to expand (one's client base, outlook etc)		7-9
唾液	唾液	tuòyè	saliva		7-9
挖掘	挖掘	wājué	to excavate; (lit and fig.) to unearth; to dig into		7-9
挖苦	挖苦	wāku	to speak sarcastically, to make cutting remarks, also pr. [wa1 ku5]		7-9
瓦	瓦	wǎ	roof tile, abbr. for 瓦特[wa3 te4]		7-9
歪	歪	wāi	askew, at a crooked angle, devious, noxious, (coll.) to lie on one's side; to sprain (one's ankle) (Tw)		7-9
歪曲	歪曲	wāiqū	to distort, to misrepresent		7-9
外表	外表	wàibiǎo	external, outside, outward appearance		7-9
外公	外公	wàigōng	(coll.) mother's father, maternal grandfather		7-9
外行	外行	wàiháng	layman, amateur		7-9
外號	外号	wàihào	nickname		7-9
外籍	外籍	wàijí	foreign (i.e. of foreign nationality)		7-9
外貿	外贸	wàimào	foreign trade		7-9
外貌	外貌	wàimào	profile, appearance		7-9
外婆	外婆	wàipó	(coll.) mother's mother, maternal grandmother		7-9
外企	外企	wàiqǐ	foreign enterprise, company established in mainland China with direct investment from foreign entities or from investors in Taiwan, Macao or Hong Kong, abbr. for 外資企業|外资企业		7-9
外星人	外星人	wàixīngrén	space alien; extraterrestrial		7-9
外形	外形	wàixíng	figure, shape, external form, contour		7-9
外援	外援	wàiyuán	foreign aid, external aid, (sports) foreign player, player recruited from overseas		7-9
丸	丸	wán	ball, pellet, pill		7-9
完備	完备	wánbèi	faultless, complete, perfect, to leave nothing to be desired		7-9
完畢	完毕	wánbì	to finish, to end, to complete		7-9
完蛋	完蛋	wándàn	(coll.) to be done for		7-9
完好	完好	wánhǎo	intact, in good condition		7-9
玩耍	玩耍	wánshuǎ	to play (as children do), to amuse oneself		7-9
玩意兒	玩意儿	wányìr	erhua variant of 玩意[wan2 yi4]		7-9
頑固	顽固	wángù	stubborn; obstinate		7-9
挽	挽	wǎn	to pull, to draw (a cart or a bow), to roll up, to coil, to carry on the arm, to lament the dead, (fig.) to pull against, to recover; variant of 挽[wan3], to draw (a cart), to lament the dead		7-9
挽回	挽回	wǎnhuí	to retrieve, to redeem		7-9
挽救	挽救	wǎnjiù	to save, to remedy, to rescue		7-9
晚間	晚间	wǎnjiān	evening, night		7-9
晚年	晚年	wǎnnián	one's later years		7-9
晚期	晚期	wǎnqī	later period, end stage, terminal		7-9
惋惜	惋惜	wǎnxī	to regret, to feel that it is a great pity, to feel sorry for sb		7-9
萬分	万分	wànfēn	very much, extremely, one ten thousandth part		7-9
萬古長青	万古长青	wàngǔ-chángqīng	remain fresh, last forever, eternal		7-9
萬能	万能	wànnéng	omnipotent, all-purpose, universal		7-9
萬萬	万万	wànwàn	hundred million; (fig.) enormous quantity, absolutely; certainly (usually followed by a negative expression)		7-9
萬無一失	万无一失	wànwú-yīshī	surefire; absolutely safe (idiom)		7-9
汪洋	汪洋	wāngyáng	vast body of water, CL:片[pian4]		7-9
亡羊補牢	亡羊补牢	wángyáng-bǔláo	lit. to mend the pen after sheep are lost (idiom), fig. to act belatedly, better late than never, to lock the stable door after the horse has bolted		7-9
王國	王国	wángguó	kingdom, realm		7-9
王牌	王牌	wángpái	(card games) trump card, (fig.) ace; star player; top performer; best asset; secret weapon		7-9
網點	网点	wǎngdiǎn	branch; service outlet (of a bank, retail store etc), (printing) halftone dot, (computing) network node		7-9
網民	网民	wǎngmín	netizen; Internet user; online community member		7-9
往常	往常	wǎngcháng	usual, customary		7-9
往返	往返	wǎngfǎn	to go back and forth; to go to and fro; to do a round trip		7-9
往日	往日	wǎngrì	former days; the past		7-9
往事	往事	wǎngshì	past events, former happenings		7-9
妄想	妄想	wàngxiǎng	to attempt vainly, a vain attempt, delusion		7-9
忘不了	忘不了	wàng bu liǎo	cannot forget		7-9
忘掉	忘掉	wàngdiào	to forget		7-9
旺	旺	wàng	prosperous, flourishing, (of flowers) blooming, (of fire) roaring		7-9
旺季	旺季	wàngjì	busy season, peak period, see also 淡季[dan4 ji4]		7-9
旺盛	旺盛	wàngshèng	vigorous, exuberant		7-9
望	望	wàng	full moon, to hope, to expect, to visit, to gaze (into the distance), to look towards, towards; 15th day of month (lunar calendar), old variant of 望[wang4]		7-9
望遠鏡	望远镜	wàngyuǎnjìng	binoculars, telescope, CL:付[fu4],副[fu4],部[bu4]		7-9
危及	危及	wēijí	to endanger, to jeopardize, a danger (to life, national security etc)		7-9
危急	危急	wēijí	critical, desperate (situation)		7-9
威風	威风	wēifēng	awe-inspiring bearing; authority; power, imposing; impressive; majestic		7-9
威力	威力	wēilì	might, formidable power		7-9
威懾	威慑	wēishè	to deter		7-9
威信	威信	wēixìn	Weixin county in Zhaotong 昭通[Zhao1 tong1], Yunnan; prestige, reputation, trust, credit with the people		7-9
微不足道	微不足道	wēibùzúdào	negligible; insignificant		7-9
微觀	微观	wēiguān	micro-, subatomic		7-9
微妙	微妙	wēimiào	subtle		7-9
微弱	微弱	wēiruò	weak, faint, feeble		7-9
微型	微型	wēixíng	miniature; micro-; tiny		7-9
為人	为人	wéirén	to conduct oneself, behavior; conduct; personal character; for sb, for others' interest		7-9
違背	违背	wéibèi	to go against, to be contrary to, to violate		7-9
違約	违约	wéiyuē	to break a promise, to violate an agreement, to default (on a loan or contract)		7-9
違章	违章	wéizhāng	to break the rules, to violate regulations		7-9
圍牆	围墙	wéiqiáng	perimeter wall, fence, CL:道[dao4]		7-9
唯	唯	wéi	only, alone, -ism (in Chinese, a prefix, often combined with a suffix such as 主義|主义[zhu3 yi4] or 論|论[lun4], e.g. 唯理論|唯理论[wei2 li3 lun4], rationalism); yes		7-9
唯獨	唯独	wéidú	only, just (i.e. it is only that...), all except, unique		7-9
偽造	伪造	wěizào	to forge, to fake, to counterfeit		7-9
偽裝	伪装	wěizhuāng	to pretend to be (asleep etc), to disguise oneself as, pretense, disguise, (military) to camouflage, camouflage		7-9
尾氣	尾气	wěiqì	exhaust; emissions		7-9
尾聲	尾声	wěishēng	coda, epilogue, end		7-9
緯度	纬度	wěidù	latitude		7-9
委屈	委屈	wěiqu	to feel wronged, to cause sb to feel wronged, grievance		7-9
委婉	委婉	wěiwǎn	tactful, euphemistic, (of voice etc) suave, soft		7-9
委員	委员	wěiyuán	committee member		7-9
委員會	委员会	wěiyuánhuì	committee; commission		7-9
萎縮	萎缩	wěisuō	to wither, to dry up (of a plant), to atrophy (of muscle, social custom etc)		7-9
衛視	卫视	wèishì	satellite TV (abbr. for 衛星電視|卫星电视[wei4 xing1 dian4 shi4])		7-9
未	未	wèi	not yet, did not, have not, not, 8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep, ancient Chinese compass point: 210°		7-9
未成年人	未成年人	wèichéngniánrén	minor (i.e. person under 18)		7-9
未經	未经	wèijīng	not having undergone, without (having gone though a certain process)		7-9
未免	未免	wèimiǎn	unavoidably, can't help, really, rather		7-9
未知數	未知数	wèizhīshù	unknown number, (fig.) an unknown; an uncertainty		7-9
位子	位子	wèizi	place, seat		7-9
味精	味精	wèijīng	monosodium glutamate (MSG)		7-9
畏懼	畏惧	wèijù	to fear, to dread, foreboding		7-9
畏縮	畏缩	wèisuō	to cower; to flinch; to quail; to recoil		7-9
胃口	胃口	wèikǒu	appetite, liking		7-9
餵養	喂养	wèiyǎng	to feed (a child, domestic animal etc), to keep, to raise (an animal)		7-9
慰勞	慰劳	wèiláo	to show appreciation (by kind words, small gifts etc), to comfort		7-9
溫度計	温度计	wēndùjì	thermometer, thermograph		7-9
溫泉	温泉	wēnquán	see 溫泉縣|温泉县[Wen1 quan2 Xian4]; hot spring		7-9
溫柔	温柔	wēnróu	gentle and soft; tender; sweet (commonly used to describe a girl or woman)		7-9
溫室	温室	wēnshì	greenhouse		7-9
溫習	温习	wēnxí	to review (a lesson etc)		7-9
溫馨	温馨	wēnxīn	comfort, soft and fragrant, warm		7-9
瘟疫	瘟疫	wēnyì	plague; pestilence		7-9
文	文	wén	surname Wen; language, culture, writing, formal, literary, gentle, (old) classifier for coins, Kangxi radical 67		7-9
文具	文具	wénjù	stationery, item of stationery (pen, pencil, eraser, pencil sharpener etc)		7-9
文科	文科	wénkē	liberal arts, humanities		7-9
文盲	文盲	wénmáng	illiterate		7-9
文憑	文凭	wénpíng	diploma		7-9
文人	文人	wénrén	cultivated individual; scholar; literati		7-9
文物	文物	wénwù	cultural relic, historical relic, CL:件[jian4],個|个[ge4]		7-9
文獻	文献	wénxiàn	reference material (used in scholarly study)		7-9
文雅	文雅	wényǎ	elegant, refined		7-9
聞名	闻名	wénmíng	well-known, famous, renowned, eminent		7-9
蚊帳	蚊帐	wénzhàng	mosquito net, CL:頂|顶[ding3]		7-9
蚊子	蚊子	wénzi	mosquito		7-9
吻	吻	wěn	kiss, to kiss, mouth; variant of 吻[wen3]		7-9
吻合	吻合	wěnhé	to be a good fit, to be identical with, to adjust oneself to, to fit in		7-9
紊亂	紊乱	wěnluàn	disorder, chaos		7-9
穩固	稳固	wěngù	stable, steady, firm, to stabilize		7-9
穩健	稳健	wěnjiàn	firm, stable and steady		7-9
穩妥	稳妥	wěntuǒ	dependable		7-9
穩重	稳重	wěnzhòng	steady, earnest, staid		7-9
問卷	问卷	wènjuàn	questionnaire, CL:份[fen4]		7-9
問世	问世	wènshì	to be published, to come out		7-9
窩	窝	wō	nest, pit or hollow on the human body, lair, den, place, to harbor or shelter, to hold in check, to bend, classifier for litters and broods		7-9
臥	卧	wò	to lie, to crouch		7-9
污穢	污秽	wūhuì	(literary) dirty; filthy, (literary) dirt; filth		7-9
巫婆	巫婆	wūpó	witch, sorceress, female shaman		7-9
嗚咽	呜咽	wūyè	to sob, to whimper		7-9
屋頂	屋顶	wūdǐng	roof		7-9
無比	无比	wúbǐ	incomparable; matchless		7-9
無不	无不	wúbù	none lacking, none missing, everything is there, everyone without exception		7-9
無償	无偿	wúcháng	free; no charge; at no cost		7-9
無敵	无敌	wúdí	unequalled, without rival, a paragon		7-9
無惡不作	无恶不作	wú'è-bùzuò	not to shrink from any crime (idiom); to commit any imaginable misdeed		7-9
無非	无非	wúfēi	only, nothing else		7-9
無辜	无辜	wúgū	innocent, innocence, not guilty (law)		7-9
無故	无故	wúgù	without cause or reason		7-9
無關緊要	无关紧要	wúguān-jǐnyào	indifferent, insignificant		7-9
無話可說	无话可说	wúhuà-kěshuō	to have nothing to say (idiom)		7-9
無濟於事	无济于事	wújìyúshì	(idiom) to no avail; of no use		7-9
無家可歸	无家可归	wújiā-kěguī	(idiom) homeless		7-9
無精打采	无精打采	wújīng-dǎcǎi	dispirited and downcast (idiom); listless, in low spirits, washed out		7-9
無可奉告	无可奉告	wúkěfènggào	(idiom) no comment		7-9
無可厚非	无可厚非	wúkěhòufēi	see 未可厚非[wei4 ke3 hou4 fei1]		7-9
無可奈何	无可奈何	wúkěnàihé	have no way out, have no alternative, abbr. to 無奈|无奈[wu2 nai4]		7-9
無理	无理	wúlǐ	irrational, unreasonable		7-9
無力	无力	wúlì	powerless, lacking strength		7-9
無論如何	无论如何	wúlùn-rúhé	(idiom) whatever the case; in any event; no matter what; by all possible means		7-9
無能	无能	wúnéng	incompetence, inability, incapable, powerless		7-9
無能為力	无能为力	wúnéngwéilì	(idiom) powerless to do anything about it		7-9
無情	无情	wúqíng	pitiless, ruthless, merciless, heartless		7-9
無情無義	无情无义	wúqíng-wúyì	completely lacking any feeling or sense of justice (idiom); cold and ruthless		7-9
無窮	无穷	wúqióng	endless, boundless, inexhaustible		7-9
無私	无私	wúsī	selfless, unselfish, disinterested, altruistic		7-9
無所事事	无所事事	wúsuǒshìshì	to have nothing to do, to idle one's time away (idiom)		7-9
無所作為	无所作为	wúsuǒzuòwéi	attempting nothing and accomplishing nothing (idiom); without any initiative or drive, feckless		7-9
無條件	无条件	wútiáojiàn	unconditional		7-9
無微不至	无微不至	wúwēi-bùzhì	in every possible way (idiom); meticulous		7-9
無線	无线	wúxiàn	wireless		7-9
無線電	无线电	wúxiàndiàn	radio; wireless (i.e. the technology used in radio telecommunication), a radio		7-9
無形	无形	wúxíng	incorporeal, virtual, formless, invisible (assets), intangible		7-9
無形中	无形中	wúxíngzhōng	imperceptibly, virtually		7-9
無須	无须	wúxū	need not, not obliged to, not necessarily		7-9
無意	无意	wúyì	inadvertent, accidental, to have no intention of (doing sth)		7-9
無憂無慮	无忧无虑	wúyōu-wúlǜ	(idiom) carefree; without worries		7-9
無緣	无缘	wúyuán	to have no opportunity, no way (of doing sth), no chance, no connection, not placed (in a competition), (in pop lyrics) no chance of love, no place to be together etc		7-9
無知	无知	wúzhī	ignorant, ignorance		7-9
無足輕重	无足轻重	wúzú-qīngzhòng	insignificant		7-9
五花八門	五花八门	wǔhuā-bāmén	myriad, all kinds of, all sorts of		7-9
五星級	五星级	wǔxīngjí	five-star (hotel)		7-9
武力	武力	wǔlì	military force		7-9
武裝	武装	wǔzhuāng	arms, equipment, to arm, military, armed (forces)		7-9
侮辱	侮辱	wǔrǔ	to insult, to humiliate, dishonor		7-9
捂	捂	wǔ	to enclose, to cover with the hand (one's eyes, nose or ears), to cover up (an affair), contrary, to contradict		7-9
舞廳	舞厅	wǔtīng	dance hall, ballroom, CL:間|间[jian1]		7-9
勿	勿	wù	do not		7-9
務必	务必	wùbì	must, to need to, to be sure to		7-9
務實	务实	wùshí	to deal with concrete matters, pragmatic		7-9
物流	物流	wùliú	distribution (business), logistics		7-9
物體	物体	wùtǐ	object; body; substance		7-9
物證	物证	wùzhèng	material evidence		7-9
物資	物资	wùzī	goods, supplies		7-9
誤差	误差	wùchā	difference, error, inaccuracy		7-9
誤導	误导	wùdǎo	to mislead, to misguide, misleading		7-9
誤區	误区	wùqū	mistaken ideas; misconceptions; the error of one's ways		7-9
霧	雾	wù	fog, mist, CL:場|场[chang2],陣|阵[zhen4]		7-9
吸納	吸纳	xīnà	to take in, to absorb, to admit, to accept		7-9
吸取	吸取	xīqǔ	to absorb, to draw (a lesson, insight etc), to assimilate		7-9
昔日	昔日	xīrì	former days, in the past		7-9
息息相關	息息相关	xīxī-xiāngguān	closely bound up (idiom); intimately related		7-9
稀	稀	xī	"sparse; scattered, rare; uncommon, diluted; thin; watery, (bound form) sth liquid or of thin consistency (as in 綠豆稀|绿豆稀[lu : 4 dou4 xi1] ""sweet mung bean soup""), (bound form) totally; extremely (used with negative attributes, as in 稀糟[xi1 zao1] ""utterly ruined"")"		7-9
稀罕	稀罕	xīhan	rare; uncommon, rare thing; rarity, to value as a rarity; to cherish, Taiwan pr. [xi1han3]		7-9
稀奇	稀奇	xīqí	rare, strange		7-9
稀少	稀少	xīshǎo	sparse, rare		7-9
錫	锡	xī	tin (chemistry), to bestow, to confer, to grant, Taiwan pr. [xi2]		7-9
熙熙攘攘	熙熙攘攘	xīxī-rǎngrǎng	(idiom) bustling with activity		7-9
熄火	熄火	xīhuǒ	(of fire, lamp etc) to go out, to put out (fire), (fig.) to die down, (of a vehicle) to stall		7-9
膝蓋	膝盖	xīgài	knee, (Internet slang) to kneel down (in admiration)		7-9
嬉笑	嬉笑	xīxiào	to be laughing and playing, to giggle		7-9
習俗	习俗	xísú	custom, tradition, local tradition, convention		7-9
席	席	xí	surname Xi; woven mat, seat, banquet, place in a democratic assembly, classifier for banquets, conversations etc; variant of 席[xi2], woven mat		7-9
席位	席位	xíwèi	a seat (in a theater, stadium etc), parliamentary or congressional seat		7-9
襲擊	袭击	xíjī	attack (esp. surprise attack), raid, to attack		7-9
媳婦	媳妇	xífu	daughter-in-law, wife of a younger brother or relative of the younger generation; (dialect) wife, (dialect) young married woman		7-9
洗滌劑	洗涤剂	xǐdíjì	cleaning agent, detergent		7-9
洗禮	洗礼	xǐlǐ	baptism (lit. or fig.)		7-9
喜出望外	喜出望外	xǐchūwàngwài	to be pleased beyond one's expectations (idiom), overjoyed at the turn of events		7-9
喜好	喜好	xǐhào	to like, fond of, to prefer, to love, one's tastes, preference		7-9
喜酒	喜酒	xǐjiǔ	wedding feast, liquor drunk at a wedding feast		7-9
喜怒哀樂	喜怒哀乐	xǐ-nù-āi-lè	lit. happiness, anger, sorrow, and joy (idiom), fig. emotions		7-9
喜慶	喜庆	xǐqìng	jubilation, festive		7-9
喜事	喜事	xǐshì	happy occasion, wedding		7-9
喜糖	喜糖	xǐtáng	sweet given on a happy occasion (esp. wedding)		7-9
喜洋洋	喜洋洋	xǐyángyáng	radiant with joy		7-9
喜悅	喜悦	xǐyuè	happy, joyous		7-9
細膩	细腻	xìnì	(of skin etc) smooth; satiny; delicate, (of a performance, depiction, craftsmanship etc) finely detailed; subtle; exquisite; meticulous		7-9
細微	细微	xìwēi	tiny, minute, fine, subtle, sensitive (instruments)		7-9
細心	细心	xìxīn	meticulous; careful; attentive		7-9
蝦	虾	xiā	used in 蝦蟆|虾蟆[ha2 ma5]; shrimp, prawn		7-9
瞎	瞎	xiā	blind, groundlessly, foolishly, to no purpose		7-9
俠義	侠义	xiáyì	chivalrous, chivalry, knight-errantry		7-9
峽谷	峡谷	xiágǔ	canyon, gill, ravine		7-9
狹隘	狭隘	xiá'ài	(of a path etc) narrow, (of a living space etc) cramped, (of a way of thinking, a definition etc) narrow; limited		7-9
狹小	狭小	xiáxiǎo	narrow		7-9
狹窄	狭窄	xiázhǎi	narrow		7-9
下場	下场	xiàchǎng	to leave (the stage, an exam room, the playing field etc), to take part in some activity, to take an examination (in the imperial examination system); the end, to conclude		7-9
下跌	下跌	xiàdiē	to fall, to tumble		7-9
下崗	下岗	xiàgǎng	(of a guard, sentry etc) to come off duty, (of a worker) be to laid off		7-9
下功夫	下功夫	xià gōngfu	variant of 下工夫[xia4 gong1 fu5]		7-9
下海	下海	xiàhǎi	to go out to sea, to enter the sea (to swim etc), (fig.) to take the plunge (e.g. leave a secure job, or enter prostitution etc)		7-9
下級	下级	xiàjí	low ranking, low level, underclass, subordinate		7-9
下決心	下决心	xià juéxīn	to determine, to resolve		7-9
下令	下令	xiàlìng	to give an order; to issue an order		7-9
下落	下落	xiàluò	whereabouts, to drop, to fall		7-9
下期	下期	xià qī	next period (week, month or quarter etc)		7-9
下棋	下棋	xiàqí	to play chess		7-9
下山	下山	xiàshān	to go down a hill, (of the sun or moon) to set		7-9
下手	下手	xiàshǒu	to start, to put one's hand to, to set about, the seat to the right of the main guest		7-9
下屬	下属	xiàshǔ	subordinate, underling		7-9
下臺	下台	xiàtái	to go off the stage, to fall from position of prestige, to step down (from office etc), to disentangle oneself, to get off the hook		7-9
下調	下调	xiàtiáo	to demote, to pass down to a lower unit; to adjust downwards, to lower (prices, wages etc)		7-9
下鄉	下乡	xiàxiāng	to go to the countryside		7-9
下旬	下旬	xiàxún	last third of the month		7-9
下一代	下一代	xià yī dài	the next generation		7-9
下意識	下意识	xiàyìshí	subconscious mind		7-9
下游	下游	xiàyóu	lower reaches (of a river), lower level, lower echelon, downstream		7-9
下墜	下坠	xiàzhuì	(of objects) to fall, to drop, to droop, (medicine) to experience tenesmus		7-9
嚇唬	吓唬	xiàhu	to scare, to frighten		7-9
嚇人	吓人	xiàrén	to scare, scary, frightening		7-9
夏令營	夏令营	xiàlìngyíng	summer camp		7-9
仙鶴	仙鹤	xiānhè	red-crowned crane (Grus japonensis)		7-9
仙女	仙女	xiānnǚ	fairy		7-9
先例	先例	xiānlì	precedent		7-9
先天	先天	xiāntiān	embryonic period (contrasted with 後天|后天[hou4 tian1]), inborn; innate; natural		7-9
纖維	纤维	xiānwéi	fiber, CL:種|种[zhong3]		7-9
掀	掀	xiān	to lift (a lid), to rock, to convulse		7-9
掀起	掀起	xiānqǐ	to lift; to raise (a lid etc), (of a storm) to surge; to stir up (waves etc), (fig.) to trigger; set off (a wave of popularity, a controversy etc)		7-9
鮮活	鲜活	xiānhuó	vivid; lively, (of food ingredients) live or fresh		7-9
鮮美	鲜美	xiānměi	fresh and delicious; tasty		7-9
鮮血	鲜血	xiānxuè	blood		7-9
弦	弦	xián	bow string, string of musical instrument, watchspring, chord (segment of curve), hypotenuse, CL:根[gen1]		7-9
銜接	衔接	xiánjiē	to link up; to connect; to join		7-9
嫌棄	嫌弃	xiánqì	to regard with disdain; to shun		7-9
嫌疑	嫌疑	xiányí	suspicion, to have suspicions		7-9
顯而易見	显而易见	xiǎn'éryìjiàn	clearly and easy to see (idiom); obviously, clearly, it goes without saying		7-9
顯赫	显赫	xiǎnhè	illustrious, celebrated		7-9
顯示器	显示器	xiǎnshìqì	display device; monitor		7-9
顯現	显现	xiǎnxiàn	appearance, to appear		7-9
顯眼	显眼	xiǎnyǎn	conspicuous, eye-catching, glamorous		7-9
現成	现成	xiànchéng	ready-made, readily available		7-9
現任	现任	xiànrèn	to occupy a post currently, current (president etc); incumbent, (coll.) current boyfriend (girlfriend, spouse)		7-9
現行	现行	xiànxíng	to be in effect, in force, current		7-9
限	限	xiàn	to limit, to restrict, (bound form) limit, bound		7-9
限定	限定	xiàndìng	to restrict to, to limit		7-9
限度	限度	xiàndù	limitation, limit		7-9
限於	限于	xiànyú	to be limited to, to be confined to		7-9
線條	线条	xiàntiáo	line (in drawing, calligraphy etc), the lines or contours of a three-dimensional object (hairstyle, clothing, car etc)		7-9
憲法	宪法	xiànfǎ	constitution (of a country), CL:部[bu4]		7-9
陷	陷	xiàn	pitfall, trap, to get stuck, to sink, to cave in, to frame (false charge), to capture (a city in battle), to fall (to the enemy), defect		7-9
陷阱	陷阱	xiànjǐng	pitfall, snare, trap		7-9
餡兒	馅儿	xiànr	erhua variant of 餡|馅[xian4]		7-9
羨慕	羡慕	xiànmù	to envy, to admire		7-9
獻血	献血	xiànxiě	to donate blood		7-9
腺	腺	xiàn	gland		7-9
鄉親	乡亲	xiāngqīn	fellow countryman (from the same village), local people, villager, the folks back home		7-9
鄉下	乡下	xiāngxia	countryside, rural area, CL:個|个[ge4]		7-9
相伴	相伴	xiāngbàn	to accompany sb, to accompany each other		7-9
相比之下	相比之下	xiāngbǐ zhī xià	by comparison		7-9
相差	相差	xiāngchà	to differ		7-9
相傳	相传	xiāngchuán	to pass on, to hand down, tradition has it that ..., according to legend		7-9
相當於	相当于	xiāngdāngyú	equivalent to		7-9
相對	相对	xiāngduì	relatively, opposite, to resist, to oppose, relative, vis-a-vis, counterpart		7-9
相對而言	相对而言	xiāngduì-éryán	relatively speaking, comparatively speaking		7-9
相輔相成	相辅相成	xiāngfǔ-xiāngchéng	(idiom) to complement one another		7-9
相繼	相继	xiāngjì	in succession, following closely		7-9
相連	相连	xiānglián	to link, to join, link, connection		7-9
相識	相识	xiāngshí	to get to know each other, acquaintance		7-9
相提並論	相提并论	xiāngtí-bìnglùn	to discuss two disparate things together (idiom); to mention on equal terms, to place on a par with, (often with negatives: impossible to mention X in the same breath as Y)		7-9
相通	相通	xiāngtōng	interlinked, connected, communicating, in communication, accommodating		7-9
相依為命	相依为命	xiāngyī-wéimìng	mutually dependent for life (idiom); to rely upon one another for survival, interdependent		7-9
相遇	相遇	xiāngyù	to meet, to encounter, to come across		7-9
相約	相约	xiāngyuē	to agree (on a meeting place, date etc), to reach agreement, to make an appointment		7-9
香料	香料	xiāngliào	spice, flavoring, condiment, perfume		7-9
香水	香水	xiāngshuǐ	perfume, cologne		7-9
香味	香味	xiāngwèi	fragrance, bouquet, sweet smell, CL:股[gu3]		7-9
香煙	香烟	xiāngyān	smoke from incense (burned as an offering to one's ancestors); (fig.) continuation of family line, cigarette (CL:支[zhi1],條|条[tiao2],根[gen1],包[bao1],盒[he2]); cigarette (CL:支[zhi1],條|条[tiao2],根[gen1],包[bao1],盒[he2]) (variant of 香煙|香烟[xiang1 yan1])		7-9
香油	香油	xiāngyóu	sesame oil, perfumed oil		7-9
鑲	镶	xiāng	to inlay, to embed, ridge, border		7-9
鑲嵌	镶嵌	xiāngqiàn	to inlay, to embed, to set (e.g. a jewel in a ring), tiling, tesselation		7-9
詳盡	详尽	xiángjìn	thorough and detailed, exhaustive, the tedious details in full		7-9
祥和	祥和	xiánghé	auspicious and peaceful		7-9
享	享	xiǎng	to enjoy, to benefit, to have the use of; old variant of 享[xiang3]		7-9
享有	享有	xiǎngyǒu	to enjoy (rights, privileges etc)		7-9
響亮	响亮	xiǎngliàng	loud and clear; resounding		7-9
響起	响起	xiǎngqǐ	(of a sound) to come forth, (of a sound source) to ring out, to sound, to go off		7-9
響應	响应	xiǎngyìng	to respond to, answer, CL:個|个[ge4]		7-9
想方設法	想方设法	xiǎngfāng-shèfǎ	to think up every possible method (idiom); to devise ways and means, to try this, that and the other		7-9
